tree_code,image_id,acquisition_date,product_type,crown_area_m2,crown_diameter_m,pan_ndvi_mean,pan_ndvi_median,pan_ndvi_p10,pan_gndvi_mean,pan_savi_mean,analytic_ndvi_mean,analytic_gndvi_mean,analytic_savi_mean,final_ndvi_mean,health_index,canopy_density_score,fragmentation_score,shadow_fraction,anomaly_flag,recommended_action,red_mean,green_mean,blue_mean,nir_mean,review_status,review_source
KOG-THOELIEB-0127,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,25.75,5.726,0.29272180795669556,0.2909270226955414,0.25669121742248535,0.39391735196113586,0.43900632858276367,,,,0.29272180795669556,32.5,0.736,0.482,0.0,True,"Field inspection: check irrigation, pruning, stress.",1069.3494873046875,851.203857421875,621.3106689453125,1949.4466552734375,unreviewed,auto
KOG-THOELIEB-0128,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,33.5,6.531,0.31096529960632324,0.30188411474227905,0.2623133063316345,0.4119848310947418,0.4663698077201843,,,,0.31096529960632324,32.2,0.684,0.463,0.0,True,"Field inspection: check irrigation, pruning, stress.",1056.6939697265625,839.7164306640625,649.7164306640625,2010.91796875,unreviewed,auto
KOG-THOELIEB-0129,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,41.25,7.247,0.28963497281074524,0.2872910797595978,0.257180392742157,0.39041370153427124,0.4343761205673218,,,,0.28963497281074524,31.9,0.705,0.461,0.0,True,"Field inspection: check irrigation, pruning, stress.",1027.272705078125,817.2060546875,616.6848754882812,1860.0,unreviewed,auto
KOG-THOELIEB-0130,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,35.75,6.747,0.31278735399246216,0.3058755695819855,0.26411861181259155,0.4326452612876892,0.4691038429737091,,,,0.31278735399246216,32.6,0.681,0.466,0.0,True,"Field inspection: check irrigation, pruning, stress.",1106.6573486328125,848.4755249023438,641.6713256835938,2111.580322265625,unreviewed,auto
KOG-THOELIEB-0132,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,20.5,5.109,0.3332413136959076,0.32385316491127014,0.2663317322731018,0.4794485569000244,0.4997798204421997,,,,0.3332413136959076,40.6,0.759,0.416,0.0,True,"Field inspection: check irrigation, pruning, stress.",1108.256103515625,797.01220703125,566.756103515625,2208.719482421875,unreviewed,auto
KOG-THOELIEB-0133,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,26.25,5.781,0.3151277005672455,0.30150309205055237,0.2610100507736206,0.43462154269218445,0.4726318418979645,,,,0.3151277005672455,37.0,0.734,0.427,0.0,True,"Field inspection: check irrigation, pruning, stress.",1396.800048828125,1058.86669921875,784.8095092773438,2665.32373046875,unreviewed,auto
KOG-THOELIEB-0134,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,21.5,5.232,0.30271390080451965,0.29934999346733093,0.26036012172698975,0.41810405254364014,0.45399272441864014,,,,0.30271390080451965,34.5,0.762,0.442,0.0,True,"Field inspection: check irrigation, pruning, stress.",1042.908203125,798.9908447265625,590.2109985351562,1938.5963134765625,unreviewed,auto
KOG-THOELIEB-0136,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,34.5,6.628,0.3113301694393158,0.30339929461479187,0.25857219099998474,0.41132429242134094,0.46691441535949707,,,,0.3113301694393158,36.3,0.758,0.447,0.0,True,"Field inspection: check irrigation, pruning, stress.",1020.0579833984375,809.8478393554688,605.702880859375,1935.2174072265625,unreviewed,auto
KOG-THOELIEB-0137,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,31.25,6.308,0.3057573437690735,0.3024282455444336,0.25869694352149963,0.4050408899784088,0.45855602622032166,,,,0.3057573437690735,35.2,0.801,0.372,0.0,True,"Field inspection: check irrigation, pruning, stress.",1022.6959838867188,815.2319946289062,599.6640014648438,1914.9439697265625,unreviewed,auto
KOG-THOELIEB-0138,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,35.25,6.699,0.2889460623264313,0.28153476119041443,0.2597295045852661,0.4123021066188812,0.43335404992103577,,,,0.2889460623264313,27.8,0.629,0.508,0.0,True,"Field inspection: check irrigation, pruning, stress.",1237.9149169921875,936.6453857421875,690.290771484375,2233.865234375,unreviewed,auto
KOG-THOELIEB-0139,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,33.25,6.507,0.2993147671222687,0.29366737604141235,0.25847986340522766,0.4075780510902405,0.4488988220691681,,,,0.2993147671222687,33.9,0.792,0.427,0.0,True,"Field inspection: check irrigation, pruning, stress.",1099.105224609375,860.3383178710938,652.150390625,2037.593994140625,unreviewed,auto
KOG-THOELIEB-0140,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,27.75,5.944,0.2911283075809479,0.29318180680274963,0.25755396485328674,0.3934229016304016,0.43661248683929443,,,,0.2911283075809479,32.2,0.776,0.395,0.0,True,"Field inspection: check irrigation, pruning, stress.",978.7927856445312,776.450439453125,599.6216430664062,1780.2972412109375,unreviewed,auto
KOG-THOELIEB-0141,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,37.25,6.887,0.2991132140159607,0.29639720916748047,0.26078733801841736,0.3918573260307312,0.4485861659049988,,,,0.2991132140159607,29.8,0.665,0.48,0.0,True,"Field inspection: check irrigation, pruning, stress.",956.73828125,777.2080688476562,595.8120727539062,1771.248291015625,unreviewed,auto
KOG-THOELIEB-0142,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,25.75,5.726,0.2978578805923462,0.3024618923664093,0.26255109906196594,0.4144068956375122,0.446699321269989,,,,0.2978578805923462,33.6,0.78,0.388,0.0,True,"Field inspection: check irrigation, pruning, stress.",926.378662109375,718.5728149414062,557.4757080078125,1715.8057861328125,unreviewed,auto
KOG-THOELIEB-0143,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,38.25,6.979,0.32095107436180115,0.3209342658519745,0.2648089826107025,0.41016045212745667,0.48133429884910583,,,,0.32095107436180115,38.2,0.736,0.428,0.0,True,"Field inspection: check irrigation, pruning, stress.",905.4509887695312,735.4967041015625,562.6143798828125,1758.5882568359375,unreviewed,auto
KOG-THOELIEB-0144,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,38.5,7.001,0.3145143687725067,0.3032001554965973,0.26061561703681946,0.4280281960964203,0.4716835021972656,,,,0.3145143687725067,36.9,0.755,0.425,0.0,True,"Field inspection: check irrigation, pruning, stress.",961.6753540039062,745.0194702148438,561.8117065429688,1842.51953125,unreviewed,auto
KOG-THOELIEB-0145,pansharpened_reflectance_401e6b905b,2026-01-22,pansharpened_reflectance+manual_review,29.25,6.103,0.27836406230926514,0.28015995025634766,0.25841817259788513,0.4095664322376251,0.41749534010887146,,,,0.27836406230926514,29.7,0.818,0.362,0.0,True,"Field inspection: check irrigation, pruning, stress.",1515.7435302734375,1124.2392578125,840.5555419921875,2681.1708984375,unreviewed,auto
